Date,Symbol,Open,High,Low,Close,Volume From,Volume To,Volume
17-09-17,LTCUSD,52.47,54.1,47.87,51.37,562899.19,28832154.74,28269255.55
18-09-17,LTCUSD,51.37,58,51.36,56.3,871122.67,48130374.53,47259251.86
19-09-17,LTCUSD,56.3,56.86,51.38,52.95,605008.86,32737460.72,32132451.86
20-09-17,LTCUSD,52.95,54.6,51.11,51.57,337576.59,17818382.48,17480805.89
21-09-17,LTCUSD,51.57,52.5,45.18,46.61,806762.82,39216208.78,38409445.96
22-09-17,LTCUSD,46.61,49.72,45,47.81,680966.11,32038236.39,31357270.28
23-09-17,LTCUSD,47.81,50.24,46.45,49.41,324238.93,15755407.32,15431168.39
24-09-17,LTCUSD,49.41,49.58,47.1,47.7,231665.4,11157041.91,10925376.51
25-09-17,LTCUSD,47.7,53.25,47.53,52.22,492373.27,25244875.06,24752501.79
26-09-17,LTCUSD,52.22,54.41,51.5,52.34,352208.21,18602951.13,18250742.92
27-09-17,LTCUSD,52.34,57.44,52.32,56.88,584709.26,32217164.44,31632455.18
28-09-17,LTCUSD,56.88,57.11,54.07,54.87,450031.08,24994200.87,24544169.79
29-09-17,LTCUSD,54.87,54.87,50.35,52.62,531890.21,27969851.93,27437961.72
30-09-17,LTCUSD,52.62,55.92,52.54,55.26,251460.02,13779946.7,13528486.68
01-10-17,LTCUSD,55.26,55.33,53.5,54.69,193400.8,10521708.48,10328307.68
02-10-17,LTCUSD,54.69,55.08,52.62,53.37,225679.25,12175988.95,11950309.7
03-10-17,LTCUSD,53.37,53.59,51.35,52.15,232831.22,12144647.56,11911816.34
04-10-17,LTCUSD,52.15,53,50.53,51.16,205244.53,10607789.59,10402545.06
05-10-17,LTCUSD,51.16,51.94,50.25,51.67,162259.14,8306090.85,8143831.71
06-10-17,LTCUSD,51.67,52.73,51.4,52.12,146894.31,7666661.2,7519766.89
07-10-17,LTCUSD,52.12,52.85,51.6,52.57,108032.85,5619584.59,5511551.74
08-10-17,LTCUSD,52.57,54.79,52.4,53.27,202571.68,10836154.96,10633583.28
09-10-17,LTCUSD,53.27,53.41,48.15,50.04,441200.03,22302862.77,21861662.74
10-10-17,LTCUSD,50.04,51.48,49.59,50.4,193686.48,9787208.53,9593522.05
11-10-17,LTCUSD,50.4,51,50.22,50.81,98337.72,4976387.08,4878049.36
12-10-17,LTCUSD,50.81,59.58,50.66,59.58,877101.74,48913693.83,48036592.09
13-10-17,LTCUSD,59.58,60.96,55.25,58.9,838330.64,48885875.96,48047545.32
14-10-17,LTCUSD,58.9,66.85,58.3,63.94,699486.35,44035731.81,43336245.46
